:START_ID,:END_ID,:TYPE,weight:float
REsp_1556132,EXT_ARTIGO_18_DO_CODIGO_DE_DEFESA_DO_CONSUMIDOR,CITES_EXTERNAL,1.0
REsp_1825020,EXT_RHC_105272_SP,CITES_EXTERNAL,0.8563
REsp_1825020,EXT_RHC_91502_SP,CITES_EXTERNAL,0.8563
REsp_1825020,EXT_HC_412180_SC,CITES_EXTERNAL,0.8563
REsp_1825020,EXT_AGRGNOARESP_1399883_SP,CITES_EXTERNAL,0.8563
REsp_1825020,EXT_AGRGNOHC_455690_MG,CITES_EXTERNAL,0.8563
REsp_1825020,EXT_AGRGNOHC_396983_SP,CITES_EXTERNAL,0.8563
REsp_1825020,EXT_RESP_1_651_550_DF,CITES_EXTERNAL,0.8563
HC_263025,EXT_RESP_1477691_DF,CITES_EXTERNAL,0.7969
HC_263025,EXT_HC_195_824_DF,CITES_EXTERNAL,0.7969
REsp_1111736,EXT_RESP_1175679_RS,CITES_EXTERNAL,0.7969
REsp_1111736,EXT_HC_132_257_SP,CITES_EXTERNAL,0.7969
REsp_1111736,EXT_HC_90779_,CITES_EXTERNAL,0.7969
AREsp_627782,EXT_RESP_466_667_SP,CITES_EXTERNAL,0.7214
AREsp_627782,EXT_RESP_1_243_632_RS,CITES_EXTERNAL,0.7214
AREsp_627782,EXT_RESP_929_893_PR,CITES_EXTERNAL,0.7214
AREsp_627782,EXT_RESP_962_980_SP,CITES_EXTERNAL,0.7214
