nodeId:ID,:LABEL,citation_raw,inferred_type,court,authority_weight:float,case_number,origin_state,adjudicating_body,rapporteur,decision_date,cited_ementa
EXT_ADIN_1_104,ExternalCitation,ADIn 1.104,ConstitutionalControl,STF,0.7274,,,,,,
EXT_RESP_1_454_484_DF,ExternalCitation,REsp 1.454.484/DF,Case,STJ,0.7274,,,,,,
EXT_ARESP_952_395_DF,ExternalCitation,AREsp 952.395/DF,Case,STJ,0.7274,,,,,,
EXT_RESP_1_176_000_PR,ExternalCitation,REsp 1.176.000/PR,Case,STJ,0.7274,,,,,,
EXT_RESP_No_1_733_013_PR,ExternalCitation,REsp nº 1.733.013/PR,Case,STJ,1.0,,,,,,
EXT_ARESP_1596746_SP,ExternalCitation,AREsp 1596746/SP,Case,STJ,1.0,,,,,,
EXT_RESP_750_988_RJ,ExternalCitation,REsp 750.988/RJ,Case,STJ,1.0,,,,,,
EXT_RESP_1729566_SP,ExternalCitation,REsp 1729566/SP,Case,STJ,1.0,,,,,,
EXT_ARESP_1430905_SP,ExternalCitation,AREsp 1430905/SP,Case,STJ,1.0,,,,,,
EXT_ARESP_1418746_RJ,ExternalCitation,AREsp 1418746/RJ,Case,STJ,1.0,,,,,,
EXT_ARESP_1544749_SP,ExternalCitation,AREsp 1544749/SP,Case,STJ,1.0,,,,,,
EXT_ARESP_1713532_SP,ExternalCitation,AREsp 1713532/SP,Case,STJ,1.0,,,,,,
EXT_RESP_1891218_GO,ExternalCitation,REsp 1891218/GO,Case,STJ,1.0,,,,,,
EXT_ARESP_1738629_GO,ExternalCitation,AREsp 1738629/GO,Case,STJ,1.0,,,,,,
EXT_RESP_1_849_149_SP,ExternalCitation,REsp 1.849.149/SP,Case,STJ,1.0,,,,,,
EXT_ARESP_1_573_008_SP,ExternalCitation,AREsp 1.573.008/SP,Case,STJ,1.0,,,,,,
EXT_ARESP_1_490_311_SP,ExternalCitation,AREsp 1.490.311/SP,Case,STJ,1.0,,,,,,
EXT_RESP_1_712_056_SP,ExternalCitation,REsp 1.712.056/SP,Case,STJ,1.0,,,,,,
EXT_ARESP_1683820_SP,ExternalCitation,AREsp 1683820/SP,Case,STJ,1.0,,,,,,
EXT_RESP_1882735_SP,ExternalCitation,REsp 1882735/SP,Case,STJ,1.0,,,,,,
EXT_ARESP_1691550_SP,ExternalCitation,AREsp 1691550/SP,Case,STJ,1.0,,,,,,
EXT_RESP_1890825_SP,ExternalCitation,REsp 1890825/SP,Case,STJ,1.0,,,,,,
EXT_RESP_1879645_SP,ExternalCitation,REsp 1879645/SP,Case,STJ,1.0,,,,,,
EXT_ARESP_1627735_SP,ExternalCitation,AREsp 1627735/SP,Case,STJ,1.0,,,,,,
EXT_ARESP_1619479_SP,ExternalCitation,AREsp 1619479/SP,Case,STJ,1.0,,,,,,
EXT_TEMA_123,ExternalCitation,TEMA 123,RepetitiveTopic,STJ,1.0,,,,,,
EXT_ARESP_1042394_DF,ExternalCitation,AREsp 1042394/DF,Case,STJ,0.836,,,,,,
EXT_ARESP_512_230_SP,ExternalCitation,AREsp 512.230/SP,Case,STJ,0.836,,,,,,
EXT_ARESP_1221954_RS,ExternalCitation,AREsp 1221954/RS,Case,STJ,0.836,,,,,,
EXT_RESP_1524411_RS,ExternalCitation,REsp 1524411/RS,Case,STJ,0.836,,,,,,
EXT_ARESP_1107560_SP,ExternalCitation,AREsp 1107560/SP,Case,STJ,0.836,,,,,,
EXT_RESP_1132449_PR,ExternalCitation,REsp 1132449/PR,Case,STJ,0.8217,,,,,,
EXT_RESP_862_067_RJ,ExternalCitation,REsp 862.067/RJ,Case,STJ,0.8217,,,,,,
EXT_RESP_333_105_RJ,ExternalCitation,REsp 333.105/RJ,Case,STJ,0.8217,,,,,,
EXT_RESP_773_126_SP,ExternalCitation,REsp 773.126/SP,Case,STJ,0.8217,,,,,,
EXT_RESP_1114745_RJ,ExternalCitation,REsp 1114745/RJ,Case,STJ,0.8217,,,,,,
EXT_RESP_1_105_4222,ExternalCitation,REsp 1.105.4222,Case,STJ,0.8217,,,,,,
EXT_RESP_1105422_MG,ExternalCitation,REsp 1105422/MG,Case,STJ,0.8217,,,,,,
EXT_CC_30_917_DF,ExternalCitation,CC 30.917/DF,Case,STJ,0.8217,,,,,,
EXT_ART__31_DO_CODIGO_DE_DEFESA_DO_CONSUMIDOR,ExternalCitation,ART. 31 DO CÓDIGO DE DEFESA DO CONSUMIDOR,Unknown,,0.8217,,,,,,
EXT_ART__31_DO_CDC,ExternalCitation,art. 31 do CDC,Unknown,,0.8217,,,,,,
EXT_RESP_1382619_PI,ExternalCitation,REsp 1382619/PI,Case,STJ,0.6934,,,,,,
EXT_ARESP_906_683_SP,ExternalCitation,AREsp 906.683/SP,Case,STJ,0.6934,,,,,,
EXT_RESP_1563131_DF,ExternalCitation,REsp 1563131/DF,Case,STJ,0.6934,,,,,,
EXT_ARESP_570_456_DF,ExternalCitation,AREsp 570.456/DF,Case,STJ,0.6934,,,,,,
EXT_RESP_1568244_RJ,ExternalCitation,REsp 1568244/RJ,Case,STJ,0.6934,,,,,,
EXT_RESP_1733013_PR,ExternalCitation,REsp 1733013/PR,Case,STJ,0.6934,,,,,,
EXT_ARESP_955_098_PI,ExternalCitation,AREsp 955.098/PI,Case,STJ,0.6934,,,,,,
EXT_ARESP_903_181_MG,ExternalCitation,AREsp 903.181/MG,Case,STJ,0.6934,,,,,,
EXT_ARESP_1037068_PR,ExternalCitation,AREsp 1037068/PR,Case,STJ,0.6934,,,,,,
EXT_RESP_977_659_PR,ExternalCitation,REsp 977.659/PR,Case,STJ,1.0,,,,,,
EXT_RESP_1_318_065_PR,ExternalCitation,REsp 1.318.065/PR,Case,STJ,1.0,,,,,,
EXT_RESP_1_837_659_SP,ExternalCitation,REsp 1.837.659/SP,Case,STJ,1.0,,,,,,
EXT_RESP_1_726_789_RS,ExternalCitation,REsp 1.726.789/RS,Case,STJ,1.0,,,,,,
EXT_RESP_1880055_,ExternalCitation,"REsp 1880055,",Case,STJ,1.0,,,,,,
EXT_RESP_1874615_,ExternalCitation,"REsp 1874615,",Case,STJ,1.0,,,,,,
EXT_RESP_1905125_,ExternalCitation,"REsp 1905125,",Case,STJ,1.0,,,,,,
