:START_ID,:END_ID,:TYPE,weight:float
CDC_art1,AREsp_1344788,INTERPRETED_BY_ISOLATED_CASE,0.3
CDC_art1,AREsp_1336840,INTERPRETED_BY_ISOLATED_CASE,0.3
CDC_art1,REsp_1578553,INTERPRETED_BY_ISOLATED_CASE,0.3
CDC_art1,REsp_1729566,INTERPRETED_BY_ISOLATED_CASE,0.3
CDC_art1,AREsp_1302192,INTERPRETED_BY_ISOLATED_CASE,0.3
CDC_art1,AREsp_1241763,INTERPRETED_BY_ISOLATED_CASE,0.3
CDC_art1,REsp_1598129,INTERPRETED_BY_ISOLATED_CASE,0.3
CDC_art1,EAREsp_1307957,INTERPRETED_BY_ISOLATED_CASE,0.3
CDC_art1,AREsp_1121056,INTERPRETED_BY_ISOLATED_CASE,0.3
CDC_art1,AREsp_1194198,INTERPRETED_BY_ISOLATED_CASE,0.3
CDC_art1,AREsp_1034778,INTERPRETED_BY_ISOLATED_CASE,0.3
CDC_art1,AREsp_1121420,INTERPRETED_BY_ISOLATED_CASE,0.3
CDC_art1,AREsp_1087462,INTERPRETED_BY_ISOLATED_CASE,0.3
AREsp_1413621,EXT_RESP_1057274,CITES_EXTERNAL,1.0
AREsp_1413621,EXT_RESP_1568331_MS,CITES_EXTERNAL,1.0
REsp_1807470,EXT_RESP_1_471_569_RJ,CITES_EXTERNAL,0.8107
REsp_1807470,EXT_ARESP_235_553_SP,CITES_EXTERNAL,0.8107
REsp_1807470,EXT_ARESP_1155520_SP,CITES_EXTERNAL,0.8107
REsp_1807470,EXT_RESP_1676857_CE,CITES_EXTERNAL,0.8107
REsp_1807470,EXT_RESP_1710487_SP,CITES_EXTERNAL,0.8107
REsp_1807470,EXT_RESP_1_568_244_RJ,CITES_EXTERNAL,0.8107
REsp_1807470,EXT_RESP_1_124_552_RS,CITES_EXTERNAL,0.8107
REsp_1807470,EXT_RESP_894_682_RS,CITES_EXTERNAL,0.8107
REsp_1807470,EXT_RESP_N__410_775_PR,CITES_EXTERNAL,0.8107
REsp_1807470,EXT_RESP_888_732_SP,CITES_EXTERNAL,0.8107
REsp_1807470,EXT_RESP_683_518_DF,CITES_EXTERNAL,0.8107
REsp_1807470,EXT_ARESP_153_797_SP,CITES_EXTERNAL,0.8107
REsp_1807470,EXT_RESP_1785652_DF,CITES_EXTERNAL,0.8107
REsp_1807470,EXT_ADI_493_,CITES_EXTERNAL,0.8107
REsp_850718,EXT_RESP_710_847_RS,CITES_EXTERNAL,0.6275
REsp_850718,EXT_RESP_495_915_MG,CITES_EXTERNAL,0.6275
REsp_850718,EXT_RESP_419_298_RS,CITES_EXTERNAL,0.6275
REsp_850718,EXT_ADIN_2_440,CITES_EXTERNAL,0.6275
REsp_1469599,EXT_RESP_902_158_RJ,CITES_EXTERNAL,0.4283
REsp_1469599,EXT_RESP_1_573_930_SC,CITES_EXTERNAL,0.4283
REsp_1469599,EXT_RESP_1_229_028,CITES_EXTERNAL,0.4283
REsp_1469599,EXT_RESP_1_554_761_RO,CITES_EXTERNAL,0.4283
REsp_1469599,EXT_RESP_1_187_972_DF,CITES_EXTERNAL,0.4283
REsp_1469599,EXT_ARESP_858_894_SP,CITES_EXTERNAL,0.4283
REsp_1469599,EXT_ART__34_DO_CDC,CITES_EXTERNAL,0.4283
AREsp_645649,EXT_ARESP_540_208_SC,CITES_EXTERNAL,0.4283
AREsp_645649,EXT_RESP_1404861_SC,CITES_EXTERNAL,0.4283
AREsp_645649,EXT_RESP_749_200_RS,CITES_EXTERNAL,0.4283
CDC_art2,CC_ADI_5253,CONTROLLED_BY,1.0
CDC_art2,CC_ADI_4861,CONTROLLED_BY,1.0
CDC_art2,CC_ADI_5356,CONTROLLED_BY,1.0
CDC_art2,CC_ADI_3835,CONTROLLED_BY,1.0
CDC_art2,CC_ADI_2591,CONTROLLED_BY,1.0
CDC_art2,CC_ADI_4512,CONTROLLED_BY,1.0
CDC_art2,CC_ADI_5121,CONTROLLED_BY,1.0
CDC_art2,CC_ADI_3866,CONTROLLED_BY,1.0
CDC_art2,CC_ADI_5568,CONTROLLED_BY,1.0
CDC_art2,STJThesis_EDICAO_N__4__PLANOS_DE_SAUDE_-_II_t1,SUMMARIZED_BY_STJ_THESIS,0.9
CDC_art2,STJThesis_EDICAO_N__4__PLANOS_DE_SAUDE_-_II_t2,SUMMARIZED_BY_STJ_THESIS,0.9
CDC_art2,STJThesis_EDICAO_N__4__PLANOS_DE_SAUDE_-_II_t9,SUMMARIZED_BY_STJ_THESIS,0.9
CDC_art2,STJThesis_EDICAO_N__53__LOCACAO_DE_IMOVEIS_URBANOS_t1,SUMMARIZED_BY_STJ_THESIS,0.9
CDC_art2,STJThesis_EDICAO_N__53__LOCACAO_DE_IMOVEIS_URBANOS_t18,SUMMARIZED_BY_STJ_THESIS,0.9
CDC_art2,STJThesis_EDICAO_N__68__CONDOMINIO_t10,SUMMARIZED_BY_STJ_THESIS,0.9
CDC_art2,STJThesis_EDICAO_N__95__DO_SEGURO_DE_PESSOA_-_I_t2,SUMMARIZED_BY_STJ_THESIS,0.9
CDC_art2,STJThesis_EDICAO_N__39__DIREITO_DO_CONSUMIDOR_I_t1,SUMMARIZED_BY_STJ_THESIS,0.9
CDC_art2,STJThesis_EDICAO_N__42__DIREITO_DO_CONSUMIDOR_II_t6,SUMMARIZED_BY_STJ_THESIS,0.9
CDC_art2,STJThesis_EDICAO_N__42__DIREITO_DO_CONSUMIDOR_II_t11,SUMMARIZED_BY_STJ_THESIS,0.9
STJThesis_EDICAO_N__42__DIREITO_DO_CONSUMIDOR_II_t11,CDC_art14,CITES_ARTICLE,1.0
CDC_art2,STJThesis_EDICAO_N__74__DIREITO_DO_CONSUMIDOR_III_t14,SUMMARIZED_BY_STJ_THESIS,0.9
CDC_art2,STJThesis_EDICAO_N__116__DO_SEGURO_DE_DANO_t4,SUMMARIZED_BY_STJ_THESIS,0.9
CDC_art2,STJThesis_EDICAO_N__162__DIREITO_DO_CONSUMIDOR_-_VI_t12,SUMMARIZED_BY_STJ_THESIS,0.9
CDC_art2,STJThesis_EDICAO_N__165__DIREITO_DO_CONSUMIDOR_-_IX_t10,SUMMARIZED_BY_STJ_THESIS,0.9
STJThesis_EDICAO_N__165__DIREITO_DO_CONSUMIDOR_-_IX_t10,CDC_art6,CITES_ARTICLE,1.0
CDC_art2,STJThesis_EDICAO_N__2__PLANOS_DE_SAUDE_-_I_t1,SUMMARIZED_BY_STJ_THESIS,0.9
CDC_art2,Topic_76,INTERPRETED_BY_BINDING_THESIS,1.0
CDC_art2,Topic_77,INTERPRETED_BY_BINDING_THESIS,1.0
CDC_art2,Topic_312,INTERPRETED_BY_BINDING_THESIS,1.0
CDC_art2,HC_301017,INTERPRETED_BY_LEADING_CASE,1.0
CDC_art2,HC_246868,INTERPRETED_BY_LEADING_CASE,0.7982
CDC_art2,AREsp_915274,INTERPRETED_BY_LEADING_CASE,0.7835
CDC_art2,HC_178608,INTERPRETED_BY_LEADING_CASE,0.7516
CDC_art2,AREsp_526884,INTERPRETED_BY_LEADING_CASE,0.7341
CDC_art2,AREsp_907747,INTERPRETED_BY_LEADING_CASE,0.6953
CDC_art2,AREsp_331972,INTERPRETED_BY_LEADING_CASE,0.6736
CDC_art2,AREsp_705249,INTERPRETED_BY_LEADING_CASE,0.65
CDC_art2,REsp_1162649,INTERPRETED_BY_LEADING_CASE,0.65
CDC_art2,AREsp_1639752,INTERPRETED_BY_LEADING_CASE,0.6242
CDC_art2,AREsp_1453487,INTERPRETED_BY_LEADING_CASE,0.6242
CDC_art2,REsp_1954280,INTERPRETED_BY_LEADING_CASE,0.5956
