nodeId,edition,thesis_text,source_url,temporal_status,authority_weight
STJThesis_EDICAO_N__82__PODER_DE_POLICIA_t7,EDIÇÃO N. 82: PODER DE POLÍCIA,"7) O PROCON tem competência para aplicar multa à Caixa Econômica Federal  CEF por infração às normas do Código de Defesa do Consumidor, independentemente da atuação do Banco Central do Brasil.",http://www.stj.jus.br/SCON/jt/toc.jsp?edicao=EDICAO+N.+82%3A+PODER+DE+POLICIA,active,0.8
STJThesis_EDICAO_N__59__CADASTRO_DE_INADIMPLENTES_t3,EDIÇÃO N. 59: CADASTRO DE INADIMPLENTES,"3) Incumbe ao credor a exclusão do registro da dívida em nome do devedor no cadastro de inadimplentes no prazo de cinco dias úteis, a partir do integral e efetivo pagamento do débito. (Súmula n. 548/STJ) (Tese julgada sob o rito do art. 543-C do CPC/73 - Tema 735)",http://www.stj.jus.br/SCON/jt/toc.jsp?edicao=EDICAO+N.+59%3A+CADASTRO+DE+INADIMPLENTES,active,0.8
STJThesis_EDICAO_N__59__CADASTRO_DE_INADIMPLENTES_t11,EDIÇÃO N. 59: CADASTRO DE INADIMPLENTES,"11) Diante da presunção legal de veracidade e publicidade inerente aos registros do cartório de distribuição judicial e cartório de protesto, a reprodução objetiva, fiel, atualizada e clara desses dados na base de órgão de proteção ao crédito - ainda que sem a ciência do consumidor-, não tem o condão de ensejar obrigação de reparação de danos. (Tese julgada sob o rito do art. 543-C do CPC/73 - Temas 793 e 806)",http://www.stj.jus.br/SCON/jt/toc.jsp?edicao=EDICAO+N.+59%3A+CADASTRO+DE+INADIMPLENTES,active,0.8
STJThesis_EDICAO_N__98__DO_SEGURO_DE_PESSOA_-_II_t11,EDIÇÃO N. 98: DO SEGURO DE PESSOA - II,"11) No seguro de vida em grupo, em regra, a estipulante qualifica-se como mera mandatária dos segurados, e não como terceira para fins da relação securitária.",http://www.stj.jus.br/SCON/jt/toc.jsp?edicao=EDICAO+N.+98%3A+DO+SEGURO+DE+PESSOA+-+II,active,0.8
STJThesis_EDICAO_N__42__DIREITO_DO_CONSUMIDOR_II_t1,EDIÇÃO N. 42: DIREITO DO CONSUMIDOR II,"1) Na avaliação do risco de crédito, devem ser respeitados os limites estabelecidos pelo sistema de proteção do consumidor no sentido da tutela da privacidade e da máxima transparência nas relações negociais, conforme previsão do Código de Defesa do Consumidor - CDC e da Lei n. 12.414/2011. (Tese julgada sob o rito do art. 543-C do CPC/1973 - TEMA 710)",http://www.stj.jus.br/SCON/jt/toc.jsp?edicao=EDICAO+N.+42%3A+DIREITO+DO+CONSUMIDOR+II,active,0.8
STJThesis_EDICAO_N__164__DIREITO_DO_CONSUMIDOR_-_VIII_t10,EDIÇÃO N. 164: DIREITO DO CONSUMIDOR - VIII,"10) É válida a intermediação, pela internet, da venda de ingressos para eventos culturais e de entretenimento mediante cobrança de ""taxa de conveniência"", desde que o consumidor seja previamente informado do preço total da aquisição do ingresso, com o destaque do valor da referida taxa.",http://www.stj.jus.br/SCON/jt/toc.jsp?edicao=EDICAO+N.+164%3A+DIREITO+DO+CONSUMIDOR+-+VIII,active,0.8
STJThesis_EDICAO_N__189__EMBARGOS_DE_DECLARACAO_I_t7,EDIÇÃO N. 189: EMBARGOS DE DECLARAÇÃO I,"7) Admite-se, excepcionalmente, a oposição de embargos de declaração para obter a juntada de notas taquigráficas aos autos quando indispensáveis à compreensão do acórdão ou ao exercício da ampla defesa.",http://www.stj.jus.br/SCON/jt/toc.jsp?edicao=EDICAO+N.+189%3A+EMBARGOS+DE+DECLARACAO+I,active,0.8
STJThesis_EDICAO_N__88__DOS_MILITARES_t9,EDIÇÃO N. 88: DOS MILITARES,"9) O desconto em folha do servidor militar possui regulamentação própria (Medida Provisória n. 2.215-10/01), que permite comprometer contratualmente até 70% de sua remuneração mensal, desde que nesse percentual estejam incluídos, necessariamente, os descontos obrigatórios e autorizados.",http://www.stj.jus.br/SCON/jt/toc.jsp?edicao=EDICAO+N.+88%3A+DOS+MILITARES,active,0.8
STJThesis_EDICAO_N__30__DIREITO_AMBIENTAL_t4,EDIÇÃO N. 30: DIREITO AMBIENTAL,"4) O princípio da precaução pressupõe a inversão do ônus probatório, competindo a quem supostamente promoveu o dano ambiental comprovar que não o causou ou que a substância lançada ao meio ambiente não lhe é potencialmente lesiva.",http://www.stj.jus.br/SCON/jt/toc.jsp?edicao=EDICAO+N.+30%3A+DIREITO+AMBIENTAL,active,0.8
STJThesis_EDICAO_N__4__PLANOS_DE_SAUDE_-_II_t4,EDIÇÃO N. 4: PLANOS DE SAÚDE - II,"4) A cirurgia para redução do estômago (gastroplastia), indicada como tratamento para obesidade mórbida, é um procedimento essencial à sobrevida do segurado, revelando-se ilegítima a negativa do plano de saúde em cobrir as despesas da intervenção médica.",http://www.stj.jus.br/SCON/jt/toc.jsp?edicao=EDICAO+N.+++4%3A+PLANOS+DE+SAUDE+-+II,active,0.8
STJThesis_EDICAO_N__4__PLANOS_DE_SAUDE_-_II_t6,EDIÇÃO N. 4: PLANOS DE SAÚDE - II,"6) É assegurado ao trabalhador demitido sem justa causa o direito de manter a condição de beneficiário de plano privado de assistência à saúde pelo período previsto no § 1º do art. 30 da Lei n. 9.656/98, nas mesmas condições de cobertura assistencial de que gozava quando da vigência do contrato de trabalho, desde que assuma o pagamento integral.",http://www.stj.jus.br/SCON/jt/toc.jsp?edicao=EDICAO+N.+++4%3A+PLANOS+DE+SAUDE+-+II,active,0.8
STJThesis_EDICAO_N__48__BANCARIO_t8,EDIÇÃO N. 48: BANCÁRIO,"8) O simples fato de os juros remuneratórios contratados serem superiores à taxa média de mercado, por si só, não configura abusividade.",http://www.stj.jus.br/SCON/jt/toc.jsp?edicao=EDICAO+N.+48%3A+BANCARIO,active,0.8
STJThesis_EDICAO_N__48__BANCARIO_t13,EDIÇÃO N. 48: BANCÁRIO,"13) Os empréstimos com desconto em folha de pagamento (consignação facultativa/voluntária) devem limitar-se a 30% (trinta por cento) dos vencimentos do trabalhador, ante a natureza alimentar do salário e do princípio da razoabilidade.",http://www.stj.jus.br/SCON/jt/toc.jsp?edicao=EDICAO+N.+48%3A+BANCARIO,active,0.8
STJThesis_EDICAO_N__59__CADASTRO_DE_INADIMPLENTES_t5,EDIÇÃO N. 59: CADASTRO DE INADIMPLENTES,"5) Os órgãos mantenedores de cadastros possuem legitimidade passiva para as ações que buscam a reparação dos danos morais e materiais decorrentes da inscrição, sem prévia notificação, do nome de devedor em seus cadastros restritivos, inclusive quando os dados utilizados para a negativação são oriundos do CCF do Banco Central ou de outros cadastros mantidos por entidades diversas. (Tese julgada sob o rito do art. 543-C do CPC/73 - Temas 37 e 38)",http://www.stj.jus.br/SCON/jt/toc.jsp?edicao=EDICAO+N.+59%3A+CADASTRO+DE+INADIMPLENTES,active,0.8
STJThesis_EDICAO_N__59__CADASTRO_DE_INADIMPLENTES_t7,EDIÇÃO N. 59: CADASTRO DE INADIMPLENTES,"7) Da anotação irregular em cadastro de proteção ao crédito, não cabe indenização por dano moral, quando preexistente legítima inscrição, ressalvado o direito ao cancelamento. (Súmula n. 385/STJ) (Tese julgada sob o rito do art. 543-C do CPC/73 - Tema 41)",http://www.stj.jus.br/SCON/jt/toc.jsp?edicao=EDICAO+N.+59%3A+CADASTRO+DE+INADIMPLENTES,active,0.8
STJThesis_EDICAO_N__59__CADASTRO_DE_INADIMPLENTES_t8,EDIÇÃO N. 59: CADASTRO DE INADIMPLENTES,8) O entendimento da Súmula n. 385/STJ é aplicável às ações opostas em face do suposto credor que efetivou a inscrição irregular. (Tese julgada sob o rito do art. 543-C do CPC/73 - Tema 922),http://www.stj.jus.br/SCON/jt/toc.jsp?edicao=EDICAO+N.+59%3A+CADASTRO+DE+INADIMPLENTES,active,0.8
STJThesis_EDICAO_N__77__ALIMENTOS_-_II_t8,EDIÇÃO N. 77: ALIMENTOS - II,"8) Ante a natureza alimentar do salário e o princípio da razoabilidade, os empréstimos com desconto em folha de pagamento (consignação facultativa/voluntária) devem limitar-se a 30% (trinta por cento) dos vencimentos do trabalhador.",http://www.stj.jus.br/SCON/jt/toc.jsp?edicao=EDICAO+N.+77%3A+ALIMENTOS+-+II,active,0.8
STJThesis_EDICAO_N__83__BANCARIO_-_II_t10,EDIÇÃO N. 83: BANCÁRIO - II,"10) É possível a revisão de contratos bancários extintos, novados ou quitados, ainda que em sede de embargos à execução, de maneira a viabilizar, assim, o afastamento de eventuais ilegalidades, as quais não se convalescem.",http://www.stj.jus.br/SCON/jt/toc.jsp?edicao=EDICAO+N.+83%3A+BANCARIO+-+II,active,0.8
STJThesis_EDICAO_N__83__BANCARIO_-_II_t12,EDIÇÃO N. 83: BANCÁRIO - II,12) A cobrança de juros capitalizados nos contratos de mútuo é permitida quando houver expressa pactuação. (Tese julgada sob rito do art. 543-C do CPC/73  TEMA 953),http://www.stj.jus.br/SCON/jt/toc.jsp?edicao=EDICAO+N.+83%3A+BANCARIO+-+II,active,0.8
STJThesis_EDICAO_N__83__BANCARIO_-_II_t14,EDIÇÃO N. 83: BANCÁRIO - II,"14) As cédulas de crédito rural, comercial e industrial submetem-se a regramento próprio (Lei n. 6.840/1980 e Decreto-Lei n. 413/1969), que confere ao Conselho Monetário Nacional  CMN o dever de fixar os juros a serem praticados; no entanto, havendo omissão desse órgão, adota-se a limitação de 12% ao ano prevista no Decreto n. 22.626/1933 (Lei de Usura).",http://www.stj.jus.br/SCON/jt/toc.jsp?edicao=EDICAO+N.+83%3A+BANCARIO+-+II,active,0.8
